row,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
115,tt0000117,short,Saída do Pessoal Operário da Fábrica Confiança,Saída do Pessoal Operário da Fábrica Confiança,0,1896,\N,1,"Documentary,Short"
116,tt0000118,short,Salut malencontreux d'un déserteur,Salut malencontreux d'un déserteur,0,1896,\N,\N,Short
117,tt0000119,short,"Rescue on the River, Pt. 2","Sauvetage en rivière, 1er",0,1896,\N,\N,"Documentary,Short"
118,tt0000120,short,"Rescue on the River, Pt. 1","Sauvetage en rivière, 2e",0,1896,\N,\N,"Documentary,Short"
119,tt0000121,short,The Soldier's Courtship,The Soldier's Courtship,0,1896,\N,1,"Comedy,Short"
120,tt0000122,short,Closing Hours at Vibert's Perfume Factory,Sortie des ateliers Vibert,0,1896,\N,\N,"Documentary,Short"
121,tt0000123,short,Conjuring,Séance de prestidigitation,0,1896,\N,\N,Short
122,tt0000124,short,Tempête sur la jetée du treport,Tempête sur la jetée du treport,0,1896,\N,\N,"Documentary,Short"
123,tt0000125,short,The Terrible Railway Accident,The Terrible Railway Accident,0,1896,\N,\N,Short
124,tt0000126,short,Tom Old Boot,Tom Old Boot,0,1896,\N,\N,Short
125,tt0000127,short,Les tribulations d'un concierge,Les tribulations d'un concierge,0,1896,\N,\N,"Comedy,Short"
126,tt0000128,short,Academy for Young Ladies,Un lycée de jeunes filles,0,1896,\N,\N,Short
127,tt0000129,short,Un petit diable,Un petit diable,0,1896,\N,\N,Short
128,tt0000130,short,Une altercation au café,Une altercation au café,0,1896,\N,\N,Short
129,tt0000131,short,A Terrible Night,Une nuit terrible,0,1896,\N,1,"Comedy,Horror,Short"
130,tt0000132,short,Card Party,Une partie de cartes,0,1896,\N,1,"Biography,Short"
131,tt0000133,short,La voiture du potier,La voiture du potier,0,1896,\N,\N,Short
132,tt0000134,short,The Wandering Negro Minstrels,The Wandering Negro Minstrels,0,1896,\N,\N,"Music,Short"
133,tt0000135,short,A Watermelon Feast,A Watermelon Feast,0,1896,\N,\N,"Documentary,Short"
134,tt0000137,short,Au réfectoire,Au réfectoire,0,1897,\N,\N,"Comedy,Short"
135,tt0000138,short,The Bewitched Inn,L'auberge ensorcelée,0,1897,\N,2,"Comedy,Horror,Short"
136,tt0000139,short,L'aveugle,L'aveugle,0,1897,\N,\N,"Drama,Short"
137,tt0000140,short,Baignade dans le torrent,Baignade dans le torrent,0,1897,\N,1,Short
138,tt0000141,short,Ballet libella,Ballet libella,0,1897,\N,2,"Documentary,Short"
139,tt0000142,short,Buffalo Bill and Escort,Buffalo Bill and Escort,0,1897,\N,\N,"News,Short"
140,tt0000143,short,Les cambrioleurs,Les cambrioleurs,0,1897,\N,1,"Comedy,Short"
141,tt0000144,short,Chez le magnétiseur,Chez le magnétiseur,0,1897,\N,1,"Comedy,Short"
142,tt0000145,short,En classe,En classe,0,1897,\N,\N,"Comedy,Short"
143,tt0000146,short,Le cocher de fiacre endormi,Le cocher de fiacre endormi,0,1897,\N,\N,"Comedy,Short"
144,tt0000147,movie,The Corbett-Fitzsimmons Fight,The Corbett-Fitzsimmons Fight,0,1897,\N,100,"Documentary,News,Sport"
145,tt0000148,short,Le Coucher d'Yvette,Le Coucher d'Yvette,0,1897,\N,\N,Short
146,tt0000149,short,Behind the Scenes,Dans les coulisses,0,1897,\N,\N,"Comedy,Short"
147,tt0000150,short,Danse fleur de lotus,Danse fleur de lotus,0,1897,\N,1,"Documentary,Short"
148,tt0000151,short,Faust et Marguerite,Faust et Marguerite,0,1897,\N,\N,Short
149,tt0000152,short,The Hallucinated Alchemist,L'hallucination de l'alchimiste,0,1897,\N,2,"Fantasy,Horror,Short"
150,tt0000153,short,The Haunted Castle,The Haunted Castle,0,1897,\N,1,"Horror,Short"
151,tt0000154,short,Henley Regatta,Henley Regatta,0,1897,\N,\N,"News,Short,Sport"
152,tt0000155,short,The Hypnotist at Work,Le magnétiseur,0,1897,\N,\N,Short
153,tt0000156,short,A Badly Managed Hotel,L'hôtel empoisonné,0,1896,\N,\N,"Comedy,Short"
154,tt0000157,short,Idylle,Idylle,0,1897,\N,\N,Short
155,tt0000158,short,Idylle interrompue,Idylle interrompue,0,1897,\N,\N,"Comedy,Short"
156,tt0000159,short,The Devil's Laboratory,Le cabinet de Méphistophélès,0,1897,\N,1,"Horror,Short"
157,tt0000160,short,The Last Days of Pompeii,The Last Days of Pompeii,0,1900,\N,\N,"Drama,Short"
158,tt0000161,short,Leçon de danse,Leçon de danse,0,1897,\N,\N,"Comedy,Short"
159,tt0000162,short,Niagara Falls,Les chutes,0,1897,\N,1,"Documentary,Short"
160,tt0000163,short,Le planton du colonel,Le planton du colonel,0,1897,\N,\N,"Comedy,Short"
161,tt0000164,short,Le pêcheur dans le torrent,Le pêcheur dans le torrent,0,1897,\N,1,"Comedy,Short"
162,tt0000165,short,Riña en un café,Riña en un café,0,1897,\N,1,Short
163,tt0000166,short,Salida de los trabajadores de la fábrica España Industrial,Salida de los trabajadores de la fábrica España Industrial,0,1897,\N,1,"Documentary,Short"
164,tt0000167,short,Salida de misa de doce del Pilar de Zaragoza,Salida de misa de doce del Pilar de Zaragoza,0,1897,\N,\N,"Documentary,Short"
165,tt0000168,short,Salida del público de la iglesia parroquial de Santa María de Sans,Salida del público de la iglesia parroquial de Santa María de Sans,0,1897,\N,1,"Documentary,Short"
166,tt0000169,short,Slagsmål i gamla Stockholm,Slagsmål i gamla Stockholm,0,1897,\N,1,Short
167,tt0000170,short,The Twins' Tea Party,The Twins' Tea Party,0,1896,\N,1,"Comedy,Short"
168,tt0000171,short,Une nuit agitée,Une nuit agitée,0,1897,\N,\N,"Comedy,Short"
169,tt0000172,short,The X-Ray Fiend,The X-Ray Fiend,0,1897,\N,1,"Comedy,Horror,Short"
170,tt0000173,short,Battle of Santiago Bay,Battle of Santiago Bay,0,1898,\N,\N,"Short,War"
171,tt0000174,short,Výstavní párkar a lepic plakátù,Výstavní párkar a lepic plakátù,0,1898,\N,1,"Comedy,Short"
172,tt0000175,short,A Sea Cave Near Lisbon,A Sea Cave Near Lisbon,0,1896,\N,1,"Documentary,Short"
173,tt0000176,short,Brittania,Brittania,0,1898,\N,\N,Short
174,tt0000177,short,The Burglar on the Roof,The Burglar on the Roof,0,1898,\N,1,"Crime,Short"
175,tt0000178,short,The Cavalier's Dream,The Cavalier's Dream,0,1898,\N,1,"Horror,Short"
176,tt0000179,short,The Cave of the Demons,The Cave of the Demons,0,1898,\N,\N,"Horror,Short"
177,tt0000180,short,Le chemin de croix,Le chemin de croix,0,1898,\N,\N,Short
178,tt0000181,short,Cinderella,Cinderella,0,1898,\N,\N,"Fantasy,Short"
179,tt0000182,short,"Come Along, Do!","Come Along, Do!",0,1898,\N,1,"Comedy,Short"
180,tt0000183,short,The Corsican Brothers,The Corsican Brothers,0,1898,\N,\N,"Drama,Short"
181,tt0000184,short,Cripple Creek Bar-Room Scene,Cripple Creek Bar-Room Scene,0,1899,\N,1,"Short,Western"
182,tt0000185,short,La crèche à Bethléem,La crèche à Bethléem,0,1898,\N,\N,Short
183,tt0000186,short,Le cuirassé Maine,Le cuirassé Maine,0,1898,\N,\N,"Short,War"
184,tt0000187,short,La cène,La cène,0,1898,\N,1,Short
185,tt0000188,short,The Deserter,The Deserter,0,1898,\N,\N,"Drama,Short"
186,tt0000189,short,Dorotea,Dorotea,0,1898,\N,\N,Short
187,tt0000190,short,Dostavenícko ve mlýnici,Dostavenícko ve mlýnici,0,1898,\N,1,"Comedy,Short"
188,tt0000191,short,Déménagement à la cloche de bois,Déménagement à la cloche de bois,0,1898,\N,\N,Short
189,tt0000192,short,"Ella Lola, a la Trilby","Ella Lola, a la Trilby",0,1898,\N,\N,Short
190,tt0000193,short,L'entrée à Jérusalem,L'entrée à Jérusalem,0,1898,\N,\N,Short
191,tt0000194,short,Express Train on a Railway Cutting,Express Train on a Railway Cutting,0,1898,\N,\N,"Documentary,Short"
192,tt0000195,short,Les farces de Jocko,Les farces de Jocko,0,1898,\N,\N,"Comedy,Short"
193,tt0000196,short,Faust and Mephistopheles,Faust and Mephistopheles,0,1898,\N,\N,"Fantasy,Short"
194,tt0000197,short,La flagellation,La flagellation,0,1898,\N,1,Short
195,tt0000198,short,La fuite en Égypte,La fuite en Égypte,0,1898,\N,1,Short
196,tt0000199,short,Glasgow Fire Engine,Glasgow Fire Engine,0,1898,\N,\N,Short
197,tt0000200,short,Gran corrida de toros,Gran corrida de toros,0,1898,\N,\N,"Documentary,Short,Sport"
198,tt0000201,short,Indian War Council,Indian War Council,0,1898,\N,\N,"News,Short"
199,tt0000202,short,Le jardin des oliviers,Le jardin des oliviers,0,1898,\N,\N,Short
200,tt0000203,short,Je vous y prrrrends!,Je vous y prrrrends!,0,1898,\N,\N,Short
201,tt0000204,short,Jésus devant Pilate,Jésus devant Pilate,0,1898,\N,\N,Short
202,tt0000205,short,Leçons de boxe,Leçons de boxe,0,1898,\N,1,"Comedy,Short,Sport"
203,tt0000206,short,"Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona","Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona",0,1898,\N,\N,"Documentary,Short"
204,tt0000207,short,London Express,London Express,0,1898,\N,\N,"Documentary,Short"
205,tt0000208,short,The Miller and Chimney Sweep,The Miller and the Sweep,0,1897,\N,1,"Comedy,Short"
206,tt0000209,short,Photographing a Ghost,Photographing a Ghost,0,1898,\N,\N,"Horror,Short"
207,tt0000210,short,A Novice at X-rays,Les rayons Röntgen,0,1898,\N,1,Short
208,tt0000211,short,"The Astronomer's Dream; or, the Man in the Moon",La lune à un mètre,0,1898,\N,3,"Comedy,Fantasy,Horror"
209,tt0000212,short,Saida do Paquete Duque de Braganca,Saida do Paquete Duque de Braganca,0,1898,\N,\N,Short
210,tt0000213,short,Scène d'escamotage,Scène d'escamotage,0,1898,\N,1,Short
211,tt0000214,short,Tearing Down the Spanish Flag,Tearing Down the Spanish Flag,0,1898,\N,\N,"Short,War"
212,tt0000215,short,Smích a plác,Smích a plác,0,1898,\N,\N,"Documentary,Short"
213,tt0000216,short,Visita de Doña María Cristina y Alfonso XIII a Barcelona,Visita de Doña María Cristina y Alfonso XIII a Barcelona,0,1898,\N,\N,"News,Short"
214,tt0000217,short,Waves and Spray,Waves and Spray,0,1898,\N,\N,Short
215,tt0000218,short,L'affaire Dreyfus,L'affaire Dreyfus,0,1899,\N,13,"Biography,Drama,Short"
216,tt0000219,short,Aladdin and the Wonderful Lamp,Aladdin and the Wonderful Lamp,0,1899,\N,\N,"Fantasy,Short"
217,tt0000220,short,The Artist and the Flower Girl,The Artist and the Flower Girl,0,1901,\N,\N,"Romance,Short"
218,tt0000221,short,Aspectos da Praia de Cascais,Aspectos da Praia de Cascais,0,1899,\N,\N,"Documentary,Short"
219,tt0000222,short,Au cabaret,Au cabaret,0,1899,\N,1,"Comedy,Short"
220,tt0000223,short,L'aveugle,L'aveugle,0,1899,\N,\N,Short
221,tt0000224,short,Battlefield,Battlefield,0,1899,\N,\N,Short
222,tt0000225,short,Beauty and the Beast,La belle et la bête,0,1899,\N,\N,"Family,Fantasy,Romance"
223,tt0000226,short,Boat Race,Boat Race,0,1899,\N,\N,Short
224,tt0000227,short,Bombardment of Mafeking,Bombardment of Mafeking,0,1899,\N,\N,"Drama,Short,War"
225,tt0000228,short,La bonne absinthe,La bonne absinthe,0,1899,\N,1,Short
226,tt0000229,short,Casey at the Bat,Casey at the Bat,0,1899,\N,1,"Short,Sport"
227,tt0000230,short,Cinderella,Cendrillon,0,1899,\N,6,"Drama,Family,Fantasy"
228,tt0000231,short,Portuguese Railway Train,Portuguese Railway Train,0,1896,\N,1,"Documentary,Short"
229,tt0000232,short,Le chiffonnier,Le chiffonnier,0,1899,\N,\N,"Comedy,Short"
230,tt0000233,short,Choque de dos transatlánticos,Choque de dos transatlánticos,0,1899,\N,2,"Animation,Short"
231,tt0000234,short,Cleopatra's Tomb,Cléopâtre,0,1899,\N,1,"Horror,Short"
232,tt0000235,short,Haggard's She: The Pillar of Fire,La colonne de feu,0,1899,\N,1,"Adventure,Fantasy,Horror"
233,tt0000236,short,Courte échelle,Courte échelle,0,1899,\N,\N,Short
234,tt0000237,short,Le crucifiement,Le crucifiement,0,1899,\N,\N,Short
235,tt0000238,short,Les dangers de l'alcoolisme,Les dangers de l'alcoolisme,0,1899,\N,\N,"Drama,Short"
236,tt0000239,short,Danse serpentine par Mme. Bob Walter,Danse serpentine par Mme. Bob Walter,0,1899,\N,2,"Music,Short"
237,tt0000240,short,Distributing a War Extra,Distributing a War Extra,0,1899,\N,1,"Documentary,Short"
238,tt0000241,short,La descente de croix,La descente de croix,0,1899,\N,\N,Short
239,tt0000242,short,The Sign of the Cross,Le diable au couvent,0,1899,\N,3,"Fantasy,Horror,Short"
240,tt0000243,short,Le déjeuner des enfants,Le déjeuner des enfants,0,1899,\N,\N,"Comedy,Short"
241,tt0000244,short,Erreur judiciaire,Erreur judiciaire,0,1899,\N,\N,Short
242,tt0000245,short,The Haunted House,The Haunted House,0,1899,\N,\N,"Comedy,Fantasy,Horror"
243,tt0000246,short,A Turn of the Century Illusionist,L'impressionniste fin de siècle,0,1899,\N,1,"Fantasy,Short"
244,tt0000247,short,King John,King John,0,1899,\N,5,"Drama,Short"
245,tt0000248,short,A Kiss in the Tunnel,The Kiss in the Tunnel,0,1899,\N,1,"Comedy,Romance,Short"
246,tt0000249,short,The Legacy,The Legacy,0,1899,\N,\N,Short
247,tt0000250,short,Llegada del vapor Bellver a Mallorca,Llegada del vapor Bellver a Mallorca,0,1899,\N,3,"Documentary,Short"
248,tt0000251,short,Matches: An Appeal,Matches: An Appeal,0,1899,\N,1,"Animation,Short"
249,tt0000252,short,La mauvaise soupe,La mauvaise soupe,0,1899,\N,\N,"Comedy,Short"
250,tt0000253,short,The Miser's Doom,The Miser's Doom,0,1899,\N,\N,"Horror,Short"
251,tt0000254,short,Monnaie de lapin,Monnaie de lapin,0,1899,\N,\N,"Comedy,Short"
252,tt0000255,short,Mésaventure d'un charbonnier,Mésaventure d'un charbonnier,0,1899,\N,\N,"Comedy,Short"
253,tt0000256,short,Panorama from the Tower of the Brooklyn Bridge,Panorama from the Tower of the Brooklyn Bridge,0,1899,\N,\N,"Documentary,Short"
254,tt0000257,short,La résurrection,La résurrection,0,1899,\N,\N,Short
255,tt0000258,short,Le tondeur de chiens,Le tondeur de chiens,0,1899,\N,\N,"Comedy,Short"
256,tt0000259,short,Le tonnelier,Le tonnelier,0,1899,\N,\N,"Comedy,Short"
257,tt0000260,short,Transformations,Transformations,0,1899,\N,\N,"Comedy,Short"
258,tt0000261,short,A Midnight Episode,Un bon lit,0,1899,\N,1,"Comedy,Horror,Short"
259,tt0000262,short,Un lunch,Un lunch,0,1899,\N,\N,"Comedy,Short"
260,tt0000263,short,"Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria","Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria",0,1899,\N,\N,"Documentary,Short"
261,tt0000264,short,Summoning the Spirits,Évocation spirite,0,1899,\N,1,"Fantasy,Horror,Short"
262,tt0000265,short,Above the Limit,Above the Limit,0,1900,\N,\N,"Comedy,Short"
263,tt0000266,short,Above the Speedway,Above the Speedway,0,1900,\N,\N,"Documentary,Short"
264,tt0000267,short,L'angélus,L'angélus,0,1900,\N,\N,Short
265,tt0000268,short,L'arléquine,L'arléquine,0,1900,\N,\N,Short
266,tt0000269,short,"Army Life; or, How Soldiers Are Made: Mounted Infantry",Army Life,0,1900,\N,\N,"Documentary,Short"
267,tt0000270,short,Arrivée d'Arléquin,Arrivée d'Arléquin,0,1900,\N,\N,Short
